# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23496040816205,1790087475.164720,1790087475.168884,0,-446.96,384.87,-0.80253,0.925
23496040883022,1790087475.173224,1790087475.177212,0,-446.04,382.31,-0.78272,0.919
23496043284864,1790087475.181578,1790087475.188353,0,-444.02,379.63,-0.78062,0.906
23496043324253,1790087475.190679,1790087475.195185,0,-441.20,376.73,-0.75717,0.932
23496043336855,1790087475.198571,1790087475.202838,0,-438.24,374.42,-0.75066,0.940
23496043363974,1790087475.206960,1790087475.210988,0,-436.55,372.14,-0.73955,0.879
23496045480147,1790087475.215397,1790087475.220626,0,-433.71,369.04,-0.70716,0.948
23496045514266,1790087475.223855,1790087475.228209,0,-431.89,366.35,-0.71413,0.932
23496045523132,1790087475.232313,1790087475.236475,0,-428.89,364.65,-0.71314,0.926
23496045542178,1790087475.240777,1790087475.245074,0,-426.53,361.76,-0.70168,0.938
23496046012146,1790087475.249257,1790087475.255394,0,-423.79,359.15,-0.70622,0.922
23496142893370,1790087475.257761,1790087475.261909,0,-421.06,357.61,-0.70659,0.937
23496142946121,1790087475.266172,1790087475.270242,0,-418.85,355.26,-0.70310,0.887
23496144586371,1790087475.274549,1790087475.279459,0,-416.81,353.18,-0.72871,0.899
23496144617432,1790087475.283100,1790087475.289194,0,-414.85,352.07,-0.74305,0.870
23496144626914,1790087475.291649,1790087475.295725,0,-412.36,350.19,-0.77035,0.949
23496145866461,1790087475.299927,1790087475.303962,0,-410.91,348.64,-0.78061,0.944
23496145968649,1790087475.308354,1790087475.312521,0,-408.78,347.47,-0.80234,0.941
23496147988340,1790087475.317158,1790087475.322348,0,-409.05,345.59,-0.83089,0.910
23496148015068,1790087475.325308,1790087475.329447,0,-406.77,345.14,-0.85187,0.927
23496148021084,1790087475.333680,1790087475.337685,0,-405.79,344.06,-0.87334,0.947
23496148025443,1790087475.342141,1790087475.346040,0,-405.08,343.66,-0.88478,0.955
23496149893158,1790087475.350875,1790087475.355906,0,-404.69,343.22,-0.89512,0.942
23496245523286,1790087475.359038,1790087475.362928,0,-404.51,343.16,-0.90292,0.942
23496245588681,1790087475.367464,1790087475.371558,0,-404.54,343.08,-0.90986,0.914
23496245601025,1790087475.375945,1790087475.379860,0,-404.49,343.51,-0.91128,0.948
23496247113090,1790087475.384586,1790087475.389414,0,-404.63,344.17,-0.91382,0.961
23496247285006,1790087475.392835,1790087475.396943,0,-405.24,345.33,-0.90838,0.966
23496248338424,1790087475.401350,1790087475.405555,0,-405.56,346.94,-0.89655,0.971
23496248381835,1790087475.409745,1790087475.413693,0,-405.81,349.07,-0.89075,0.969
23496250563212,1790087475.418273,1790087475.422749,0,-407.18,350.11,-0.88014,0.952
23496250599927,1790087475.426648,1790087475.430720,0,-409.09,350.58,-0.87548,0.965
23496250630337,1790087475.435143,1790087475.439385,0,-410.23,352.43,-0.85660,0.911
23496250637344,1790087475.443533,1790087475.447786,0,-410.06,354.60,-0.86068,0.873
23496251716948,1790087475.452010,1790087475.456378,0,-411.02,356.13,-0.85978,0.909
23496348175855,1790087475.477340,1790087475.481597,0,-415.30,361.38,-0.84930,0.944
23496349410380,1790087475.485790,1790087475.490199,0,-417.07,362.32,-0.86625,0.954
23496349445550,1790087475.494287,1790087475.498480,0,-418.39,364.50,-0.87463,0.973
23496351308941,1790087475.502684,1790087475.506708,0,-419.64,366.02,-0.89681,0.954
23496351342261,1790087475.511153,1790087475.515160,0,-421.30,368.16,-0.90012,0.928
23496351351176,1790087475.519607,1790087475.523637,0,-424.27,369.27,-0.93820,0.955
23496352975815,1790087475.528053,1790087475.532160,0,-425.31,370.60,-0.95042,0.944
23496353022404,1790087475.536449,1790087475.540495,0,-426.71,373.29,-0.96469,0.944
23496353146430,1790087475.544912,1790087475.548836,0,-428.36,375.15,-0.97138,0.920
23496450350031,1790087475.553503,1790087475.557413,0,-431.04,375.92,-0.98388,0.972
23496450400378,1790087475.561821,1790087475.565675,0,-432.46,377.63,-1.00502,0.948
23496450408449,1790087475.570354,1790087475.574230,0,-433.59,378.61,-1.01646,0.962
23496452025531,1790087475.578721,1790087475.582729,0,-434.81,380.77,-1.03228,0.951
23496452076343,1790087475.587287,1790087475.591153,0,-436.88,382.18,-1.04688,0.933
23496452085036,1790087475.595621,1790087475.599621,0,-438.17,383.94,-1.06058,0.964
23496453637959,1790087475.604147,1790087475.608135,0,-440.35,385.13,-1.05901,0.921
23496453693811,1790087475.612512,1790087475.616703,0,-441.16,386.66,-1.05656,0.888
23496453705477,1790087475.620952,1790087475.624837,0,-442.27,387.75,-1.05968,0.927
23496455449587,1790087475.629411,1790087475.633616,0,-443.79,389.22,-1.07525,0.947
23496455486587,1790087475.637880,1790087475.641905,0,-445.49,390.46,-1.08933,0.954
23496455508027,1790087475.646315,1790087475.650789,0,-445.85,390.63,-1.06563,0.945
23496456533236,1790087475.654752,1790087475.658754,0,-447.62,392.36,-1.07100,0.911
23496552603579,1790087475.663207,1790087475.667439,0,-447.78,393.09,-1.06856,0.892
23496552656960,1790087475.671677,1790087475.675913,0,-448.49,393.83,-1.06793,0.917
23496552664748,1790087475.680118,1790087475.684417,0,-448.98,394.52,-1.07008,0.923
23496553992521,1790087475.688542,1790087475.692791,0,-449.30,394.67,-1.07061,0.898
23496554026296,1790087475.697005,1790087475.701211,0,-450.95,393.89,-1.09135,0.942
23496555637836,1790087475.705430,1790087475.709421,0,-451.32,393.78,-1.09656,0.938
23496555682247,1790087475.713910,1790087475.718199,0,-451.28,393.41,-1.10349,0.917
23496555692873,1790087475.722340,1790087475.726413,0,-451.26,393.15,-1.11073,0.928
23496557503841,1790087475.730803,1790087475.734741,0,-451.28,392.87,-1.12286,0.923
23496557535949,1790087475.739276,1790087475.743407,0,-450.95,392.81,-1.12652,0.945
23496557553825,1790087475.747704,1790087475.751872,0,-450.56,393.73,-1.11907,0.939
